,k-means,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.,Unsupervised Forest,Centroid Forest
7,108.56782287303946,124.08826279666906,134.50119848904592,124.08826279666906,121.55159810866562,129.34986601796405,117.2104317467792,132.75789146613954,117.33319600000212,156.86113928060018,151.26043097350959
8,108.56782287303946,124.08826279666906,134.50119848904592,122.05727715413622,121.63236361744927,129.34986601796405,118.48079884035613,125.8516457454413,113.56183225812663,97.6407534301854,108.13036419704473
9,108.56782287303946,124.08826279666906,134.50119848904592,120.23540446216776,121.48058630856058,123.32211649566749,116.35533686296975,119.91934392443422,111.89166613349579,129.27715672569352,96.37439323574154
10,108.56782287303946,124.08826279666906,134.50119848904592,118.46322432805047,120.21056156251714,121.73818732953413,114.02198209282402,115.38408912163605,110.81768179559162,143.74084220428935,107.32950404397972
11,108.56782287303946,124.08826279666906,134.50119848904592,116.93292469136264,119.28653486627535,119.82286268968448,112.22177617386127,114.19943275338787,109.4240498575564,187.07741519260597,103.44609041974738
12,108.56782287303946,124.08826279666906,134.50119848904592,115.54481367255151,118.3536051746623,119.82286268968448,115.32719437161789,112.96816740350812,108.82816910697866,154.96918505030413,103.53551912550998
13,108.56782287303946,124.08826279666906,134.50119848904592,114.23503918506661,118.0749903185954,119.82286268968448,115.32719437161789,112.07548003122314,108.69894070354125,120.68943146681745,106.4761531168475
14,108.56782287303946,124.08826279666906,134.50119848904592,113.24432832312613,117.92949926693417,118.66944039558803,112.82139516708554,111.29305744638306,108.60226823656875,174.54284642530038,104.17111757302003
15,108.56782287303946,124.08826279666906,134.50119848904592,112.55310972919744,117.41595284347541,116.99238684665949,112.82139516708554,110.65871047864442,108.60226823656875,185.47547562675672,102.73918394692723
16,108.56782287303946,124.08826279666906,134.50119848904592,111.86510597293011,117.19858259202415,116.99238684665949,112.82139516708554,110.10770703231634,108.56929356821637,154.42160842990998,101.39976720711414
17,108.56782287303946,124.08826279666906,134.50119848904592,111.28325896195557,116.82820826881849,116.99238684665949,112.82139516708554,110.10770703231634,108.56929356821637,119.82661796674988,99.26605580534934
18,108.56782287303946,124.08826279666906,134.50119848904592,110.70936257837067,116.8426830458227,115.51375229105611,112.82139516708554,109.7111107822596,108.5605397646297,125.56801740964784,99.00733269310548
19,108.56782287303946,124.08826279666906,134.50119848904592,110.26433460878974,116.77451427626438,115.51375229105612,112.82139516708556,109.53397012433157,108.5605397646297,109.49086885005941,102.99194523620301
20,108.56782287303946,124.08826279666906,134.50119848904592,109.95584841493975,116.05220677758639,115.51375229105612,112.82139516708556,109.23326213568163,108.55843022757314,105.9994503558811,108.28065302817924
21,108.56782287303946,124.08826279666906,134.50119848904592,109.68882314853798,115.85537327935631,115.51375229105612,112.82139516708556,109.23326213568163,108.55843022757314,109.05354441001799,109.4251384822649
22,108.56782287303946,124.08826279666906,134.50119848904592,109.45765654449309,115.64610351159511,115.51375229105612,112.82139516708557,109.2733170522958,108.56782287303946,109.9714651563776,98.44062308937819
23,108.56782287303946,124.08826279666906,134.50119848904592,109.23598609090638,115.51304221297933,115.51375229105612,112.82139516708556,109.09915224147247,108.56782287303946,105.29936015764288,110.7772735178465
24,108.56782287303946,124.08826279666906,134.50119848904592,109.04308131331395,114.20384432691787,113.97361984448416,112.82139516708554,108.96339642063646,108.56782287303946,99.35075228662198,113.02768994154016
25,108.56782287303946,124.08826279666906,134.50119848904592,108.936141898627,112.70232660569143,114.31063817300026,112.82139516708554,108.96339642063646,108.56782287303946,102.79529756226285,104.56010213593315
26,108.56782287303946,124.08826279666906,134.50119848904592,108.85098443362611,112.57082908407178,114.05063362992055,112.82139516708554,109.03049611934046,108.56782287303946,101.69890172221903,105.97808498003965
27,108.56782287303946,124.08826279666906,134.50119848904592,108.80878652366735,112.54004125798237,114.05063362992055,112.82139516708554,109.03049611934046,108.56782287303946,108.81396289802626,104.18324294802981
28,108.56782287303946,124.08826279666906,134.50119848904592,108.7680719309517,110.461360347637,114.05063362992055,112.82139516708554,108.87507669777241,108.56782287303946,99.48080908830303,96.59279075860533
29,108.56782287303946,124.08826279666906,134.50119848904592,108.75748109998781,110.42989724501987,114.05063362992055,112.02248123823694,108.87507669777241,108.56782287303946,106.30469740526485,98.47467563368727
30,108.56782287303946,124.08826279666906,134.50119848904592,108.75576092517295,110.00404941082925,113.8024193970078,112.02248123823694,108.74196617879433,108.56782287303946,109.13473731013647,109.22303863310103
31,108.56782287303946,124.08826279666906,134.50119848904592,108.75576092517295,109.71188717000841,113.8024193970078,111.85509709091349,108.74196617879433,108.56782287303946,104.35029527602575,100.21042579405184
32,108.56782287303946,124.08826279666906,134.50119848904592,108.56782287303946,108.56782287303946,113.8024193970078,110.59030747459045,108.67482488424395,108.56782287303946,107.81479532042637,98.68891341141632
